segment_no,segment_title_ar,segment_title_en,etimad_code,product_name_ar,product_name_en,product_desc_ar,product_desc_en,effective_date,notes,sector
9999,الأدوية و المستحضرات الطبية,Pharmaceutical,0001,املوديبين ,AMLODIPINE,"الشكل الصيدلاني (كبسولة), التركيز (5ملغم), طريقة الإستعمال (عن طريق الفم)","Dosage form (Capsule), Concentration (5mg), Route of admin (Oral)",2022-12-18,,الأدوية و المستحضرات الطبية
9999,الأدوية و المستحضرات الطبية,Pharmaceutical,0002,دابوكستين ,DAPOXETINE,"الشكل الصيدلاني (أقراص), التركيز (30ملغم), طريقة الإستعمال (عن طريق الفم)","Dosage form (Tablet), Concentration (30mg), Route of admin (Oral)",2022-12-18,,الأدوية و المستحضرات الطبية
9999,الأدوية و المستحضرات الطبية,Pharmaceutical,0003,دابوكستين ,DAPOXETINE,"الشكل الصيدلاني (أقراص), التركيز (60ملغم), طريقة الإستعمال (عن طريق الفم)","Dosage form (Tablet), Concentration (60mg), Route of admin (Oral)",2022-12-18,,الأدوية و المستحضرات الطبية
9999,الأدوية و المستحضرات الطبية,Pharmaceutical,0004,دسلوراتادين,DESLORATADINE,"الشكل الصيدلاني (شراب), التركيز (0.5ملغم/مل), طريقة الإستعمال (عن طريق الفم)","Dosage form (Syrup), Concentration (0.5mg/ml), Route of admin (Oral)",2022-12-18,,الأدوية و المستحضرات الطبية
9999,الأدوية و المستحضرات الطبية,Pharmaceutical,0005,ايتوريكوكسيب ,ETORICOXIB,"الشكل الصيدلاني (أقراص), التركيز (120ملغم), طريقة الإستعمال (عن طريق الفم)","Dosage form (Tablet), Concentration (120mg), Route of admin (Oral)",2022-12-18,,الأدوية و المستحضرات الطبية
9999,الأدوية و المستحضرات الطبية,Pharmaceutical,0006,ايتوريكوكسيب ,ETORICOXIB,"الشكل الصيدلاني (أقراص), التركيز (60ملغم), طريقة الإستعمال (عن طريق الفم)","Dosage form (Tablet), Concentration (60mg), Route of admin (Oral)",2022-12-18,,الأدوية و المستحضرات الطبية
9999,الأدوية و المستحضرات الطبية,Pharmaceutical,0007,فالسارتان و هيدروكلوروثيزايد ,HYDROCHLOROTHIAZIDE + VALSARTAN,"الشكل الصيدلاني (أقراص), التركيز (320, 25ملغم), طريقة الإستعمال (عن طريق الفم)","Dosage form (Tablet), Concentration (320, 25mg), Route of admin (Oral)",2022-12-18,,الأدوية و المستحضرات الطبية
9999,الأدوية و المستحضرات الطبية,Pharmaceutical,0008,لانسوبرازول ,LANSOPRAZOLE,"الشكل الصيدلاني (كبسولة), التركيز (30ملغم), طريقة الإستعمال (عن طريق الفم)","Dosage form (Capsule), Concentration (30mg), Route of admin (Oral)",2022-12-18,,الأدوية و المستحضرات الطبية
9999,الأدوية و المستحضرات الطبية,Pharmaceutical,0009,ليفوفلوكساسين ,LEVOFLOXACIN,"الشكل الصيدلاني (أقراص), التركيز (750ملغم), طريقة الإستعمال (عن طريق الفم)","Dosage form (Tablet), Concentration (750mg), Route of admin (Oral)",2022-12-18,,الأدوية و المستحضرات الطبية
9999,الأدوية و المستحضرات الطبية,Pharmaceutical,0010,ميمانتين ,MEMANTINE,"الشكل الصيدلاني (أقراص), التركيز (20ملغم), طريقة الإستعمال (عن طريق الفم)","Dosage form (Tablet), Concentration (20mg), Route of admin (Oral)",2022-12-18,,الأدوية و المستحضرات الطبية
9999,الأدوية و المستحضرات الطبية,Pharmaceutical,0011,اولميسارتان ميدوكسوميل,OLMESARTAN MEDOXOMIL,"الشكل الصيدلاني (أقراص), التركيز (20ملغم), طريقة الإستعمال (عن طريق الفم)","Dosage form (Tablet), Concentration (20mg), Route of admin (Oral)",2022-12-18,,الأدوية و المستحضرات الطبية
9999,الأدوية و المستحضرات الطبية,Pharmaceutical,0012,اولميسارتان ميدوكسوميل,OLMESARTAN MEDOXOMIL,"الشكل الصيدلاني (أقراص), التركيز (40ملغم), طريقة الإستعمال (عن طريق الفم)","Dosage form (Tablet), Concentration (40mg), Route of admin (Oral)",2022-12-18,,الأدوية و المستحضرات الطبية
9999,الأدوية و المستحضرات الطبية,Pharmaceutical,0013,باروكسيتين ,PAROXETINE,"الشكل الصيدلاني (أقراص), التركيز (20ملغم), طريقة الإستعمال (عن طريق الفم)","Dosage form (Tablet), Concentration (20mg), Route of admin (Oral)",2022-12-18,,الأدوية و المستحضرات الطبية
9999,الأدوية و المستحضرات الطبية,Pharmaceutical,0014,بريجابالين,PREGABALIN,"الشكل الصيدلاني (كبسولة), التركيز (50ملغم), طريقة الإستعمال (عن طريق الفم)","Dosage form (Capsule), Concentration (50mg), Route of admin (Oral)",2022-12-18,,الأدوية و المستحضرات الطبية
